"sample_date","approved_site_name","latitude","longitude","location_type","disease_present","pisaster_ochraceus","pycnopodia_helianthoides","pisaster_giganteus","pisaster_brevispinus","evasterias","patiria","strongylocentrotus_purpuratus","species_no_disease_evident","species_disease_evident","name","affiliation","additional_information","add_to_map"
"2014-07-05","Cohen Island","58.433333","-134.77972","subtidal","yes","yes","no","species not observed","species not observed","species not observed","species not observed","species not observed","Solaster spp.","NONE (no additional sea stars observed showing disease symptoms)","Donald Greenberg",NULL,"""We saw various stars at depths to 90 feet.  Two were observed as wasting at about 40 feet.  Some picnopodia had their legs curled.  Sorry we are not certain of the species.""","yes"
"2014-07-12","Cole Bay West","48.6286167","-123.4829","intertidal","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","unknown sea star",NULL,"Sea Change Marine Conservation Society",,"yes"
"2014-07-12","Cole Bay East","48.6299","-123.46887","Intertidal","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Dermasterias imbricata","NONE",NULL,"Sea Change Marine Conservation Society",,"yes"
"2014-06-14","Cole Bay East","48.6299","-123.46887","Intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","Dermasterias imbricata",NULL,"Saanich Inlet Protection Society",,"yes"
"2017-06-26","Trinidad State Beach","41.064334","-124.15127","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Dermasterias imbricata","NONE (no additional sea stars observed showing disease symptoms);","Sarah Norvell",,,"yes"
"2014-03-05","Colombine Point","49.4184611","-123.32098","subtidal","yes","no","yes","species not observed","yes","species not observed","species not observed","species not observed","Mediaster aequalis","Dermasterias imbricata",NULL,"Vancouver Aquarium",,"yes"
"2013-11-03","Commencement Bay North","47.3064818","-122.51572","rocky intertidal","no","no","no","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Joel Elliott","University of Puget Sound",,"yes"
"2013-12-15","Commencement Bay North","47.3064818","-122.51572","rocky intertidal","no","no","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Joel Elliott","University of Puget Sound",,"yes"
"2013-11-04","Commencement Bay South","47.2945426","-122.49725","rocky intertidal","no","no","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Joel Elliott","University of Puget Sound",,"yes"
"2014-09-04","Comox Harbour","49.66894","-124.92749","rocky intertidal","no","no","no","species not observed","species not observed","species not observed","no","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)",,"Darrell Tomkins","U of A retired","After not seeing sea stars all summer; delighted this morning:  23 Bat Sea Stars; 16 Ochre Sea Stars and 1 Sunflower Sea Star. Comox Harbour is between Baynes Sound and the Courtenay Estuary.","yes"
"2014-05-16","Constellation Point","47.572835","-122.41532","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Tish Conway-Cranos","Seattle University",,"yes"
"2014-08-09","Constellation Point","47.572835","-122.41532","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Whitney Fish",NULL,"Approximately 30 ochre sea stars were observed at low tide (-2.4); mostly on rocks and on the pilings under a building.  I had been to the same site about a month before and had not observed any sick sea stars.  Upon visiting again; every single sea star that I saw was sick.  I also observed several dead sea stars that had signs that they had died from wasting disease.","yes"
"2014-06-12","Constellation Point","47.572835","-122.41532","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Megan Schwartz","University of Washington Tacoma","super informal count while I was out collecting nemerteans; 2 of 18 Piaster ochraceus were affected","yes"
"2014-06-12","Alki Point Beach","47.575","-122.419","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Megan Schwartz","University of Washington Tacoma","0-30 feet (0-9 meters)super informal count while I was out collecting nemerteans; 2 of 18 Piaster ochraceus were affectedneed coordinates before posting","yes"
"2016-07-30","Cooks Cove","48.5326","-122.582","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Carol Steffy",,,"yes"
"2014-06-17","Coos Bay offshore","43.3649056","-124.34976","intertidal","yes","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","Leptasterias spp","Linda via Andy Lamb",,,"yes"
"2014-04-10","Coos Bay","43.355292","-124.31763","subtidal","yes","no","yes","species not observed","yes","no","species not observed","species not observed","Orthasterias koehleri","Dermasterias imbricata","Scott Groth","Oregon Department of Fish and Wildlife",,"yes"
"2014-06-20","Coos Head","43.349548","-124.32998","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Patrick Baker","University of Florida","While numbers of P. ochraceous seemed lower than in the past (not having actually ever measured it before); I still found dozens of apparently healthy individuals.  Most were on artificial concrete structures rather than on the native sandstone; but I think this has always been the case.  On this date; less than 10% of the P. ochraceous present exhibited wasting.","yes"
"2013-08-19","Coquille Point","43.1147179","-124.43851","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)",,"MARINe (UCSC)",,"yes"
"2014-08-11","Coquille Point","43.1147179","-124.43851","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Nate Fletcher","MARINe (UCSC)",NULL,"yes"
"2014-05-04","Coquille Point","43.1147179","-124.43851","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Leptasterias spp","NONE (no additional sea stars observed showing disease symptoms)","Melissa Miner","UCSC","Tide wasn't great, but I looked at about 40 P. ochraceus (and 1 Leptasterias!) and didn't see any evidence of disease.","yes"
"2014-06-14","Coquille Point","43.1147179","-124.43851","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Mike Mueller","US Fish and Wildlife Service","Subjects observed at a minus low tide","yes"
"2013-11-28","Corallina Cove; Montana de Oro","35.259062","-120.89624","sandy beach","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Rouvaishyana","Morro Bay Museum of Natural History",,"yes"
"2014-10-16","Buck Gully South","33.588246","-117.86736","rocky intertidal","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","yes","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","John Smith","Newport Bay Conservancy","Went tide pooling at this location the previous year and saw at least a dozen sea stars (mainly Pisaster ochraceus and Patiria minata).  I did notice that there were dozens of sea urchins with unusual; dark brown patches.  The patches were missing spines.  The beach is like a mini sea urchin graveyard right now.","yes"
"2015-12-11","Corral Canyon","34.4616013","-120.04995","intertidal monitoring site","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Melissa Redfield","MARINe (UCSC)","6 healthy adults observed.","yes"
"2014-01-28","San Nicolas Island; Corral Harbor; Phoca Reef","33.276967","-119.51462","rocky intertidal","no","no","species not observed","no","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","John Ugoretz (1); Derek Stein (2)","US Navy (1); CA Dept. of Fish and Wildlife",,"yes"
"2014-05-20","San Nicolas Island; Corral Harbor; Phoca Reef","33.276967","-119.51462","rocky intertidal","yes","no","species not observed","species not observed","species not observed","species not observed","species not observed","yes","NONE (no additional sea stars observed showing disease symptoms); ","NONE (no additional sea stars observed showing disease symptoms); ","John Ugoretz","US Navy ","I also found 4 suspect looking urchins, though overall urchin numbers were still extremely high and these could have simply been normal deaths. I've attached photos of the urchins for comparisons with other places. I could conceivably collect some specimens tomorrow morning if anyone needs them.","yes"
"2015-11-26","Cosign","33.2744637","-119.57676","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE",,"MARINe (UCSC)",,"yes"
"2015-11-28","Cosign","33.2744637","-119.57676","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE",,"MARINe (UCSC)",,"yes"
"2016-02-06","Cosign","33.2744637","-119.57676","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE",,"MARINe (UCSC)",,"yes"
"2016-11-15","Cosign","33.2744637","-119.57676","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE",,"MARINe (UCSC)",,"yes"
"2018-02-28","Cosign","33.2744637","-119.57676","rocky intertidal","no","no","species not observed","no","species not observed","species not observed","species not observed","species not observed","NONE","NONE",,"MARINe (UCSC)",,"yes"
"2014-01-13","Coupeville Pier","48.2219666","-122.68827","rocky intertidal","no","species not observed","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)",,"MARINe (UCSC); Western Washington University",,"yes"
"2014-02-26","Coupeville Pier","48.2219666","-122.68827","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)",,"MARINe (UCSC)",,"yes"
"2014-01-27","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","no","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Jan Kocian",,,"yes"
"2015-10-04","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","no","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jan Kocian",,"From his email: I never thought I will be excited by seeing a Pycnopodia. I did dive at Keystone yesterday and found four! All about 8 to 10 inches diameter. The only other place I found Pycno was one week ago at Holmes Harbor. Two small, about 4 inch diameter. None at Possession Point Fingers,. none at Langley and none at Coupeville wharf. Ochraceus seem to be OK at Langley and Coupeville, Evasterias are bing hit badly at Langley. and at Coupeville, one was wasting at Keystone Pilings. Otherwise the few Evasterias still around seem to be doing OK at Possession Point and Keystone. Entered by MR","yes"
"2015-10-08","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","yes","yes","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","Amphiodia periercta","Jan Kocian",,"59 degrees; Few healthy and few wasting Evasterias; Mostly healthy P ochraceus; 1 wasting Pycnopodia. Zillion of healthy and wasting from unknown cause burrowing brittle stars Amphiodia periercta. Entered by MR","yes"
"2015-10-28","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","yes","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","Amphiodia periercta","Jan Kocian",,"58 degrees F. entered by MR.","yes"
"2015-12-31","Coupeville Pier ST","48.222394","-122.68849","subtidal","no","no","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jan Kocian",,"few observations from Whidbey Island, not much new, the Pycnos are still rare sight and the wasting is not so much an issue at this time. Green sea urchins are taking over Keystone and Coupeville, not so much at Langley. 53 degrees F. 15 Evasterias; 21 P ochraceus. Entered by MR.","yes"
"2016-03-25","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","yes","species not observed","species not observed","species not observed","no","species not observed","species not observed","Strongylocentrotus droebachiensis","NONE (no additional sea stars observed showing disease symptoms);","Jan Kocian",,"Entered by MR","yes"
"2016-08-15","Coupeville Pier ST","48.222394","-122.68849","subtidal","no","no","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jan Kocian",,"Returned to Whidbey after short trip and eagerly visited the two sites on Whidbey where sea stars are plentiful. Not change at Coupeville wharf where P. ochraceus and Evasterias stars are the only species and so far they are all healthy; not a single star showing signs of the wasting disease. So the following day; I visited Langley harbor and it was shocking to find so many stars already gone without a trace. In less than two weeks the numbers plummeted; many are still in the process of wasting away and only few healthy still remain here and there. Even the juveniles are melting into goo. It is a very depressing sight indeed. I found strange that I could find only few healthy P.brevispinus on the tire reef in places where they were so many two weeks ago. They the weathered last die offs rather well and yesterday I did not see any sick ones neither. Entered by MD from email.","yes"
"2016-08-22","Coupeville Pier ST","48.222394","-122.68849","subtidal","no","no","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jan Kocian",,"The massive die off continues at Langley. Coupeville; seventeen miles away still healthy. All stars at Keystone healthy too; although the numbers are low. Entered by MD from email. ","yes"
"2016-12-02","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","no","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jan Kocian",,"After break in cold water diving I returned to check on marine life once again; I am happy to report that wasting at least in these two locales is minimal; seeing three healthy adult Pycnos was really refreshing. With local Winter Weather Advisory in effect; maybe the wasting process will stop or at least slow down. Over 75 healthy P. ochraceus; over 100 healthy and 2 wasting Evasterias. Entered by MD.","yes"
"2014-01-27","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","no","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE","NONE","Jan Kocian",,,"yes"
"2014-02-10","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","species not observed","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)",,"Jan Kocian",NULL,"Evasterias troschelii looking funky on steroids; some white patches visible in photos so I said disease was present at this time.","yes"
"2014-02-19","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","species not observed","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)",,"Jan Kocian",NULL,"few  wasting & zillion healthy Evasterias troschelii; Many pictures of twisting Evasterias. sea star Yoga","yes"
"2014-03-04","Coupeville Pier ST","48.222394","-122.68849","subtidal","no","no","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)",,"Jan Kocian",NULL,"""zillion healthy Evasterias troschelii; 5 healthy Pisaster ochraceus.  Coupeville Wharf is still occupied by an incredible large number of Mottled stars; no signs of wasting disease; few """"skinny"""" ones; but not torn bodies laying around. The few Ochre stars are healthy too.""","yes"
"2014-05-15","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","species not observed","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)",,"Jan Kocian",NULL,"4-5 wasted Evasterias troschelii; many healthy Evasterias","yes"
"2014-05-20","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","yes","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE","NONE","Jan Kocian",,,"yes"
"2014-06-04","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","no","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE","NONE","Jan Kocian",,,"yes"
"2014-06-12","Coupeville Pier ST","48.222394","-122.68849","subtidal","no","species not observed","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)",,"Jan Kocian",NULL,"All healthy Evasterias troschelii (bad visibility; no total count). Didn't mention any other species.","yes"
"2014-06-25","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","no","no","species not observed","no","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)",,"Jan Kocian",NULL,"8 wasting & hundreds healthy Evasterias troschelii; 25 Pisaster ochraceus; 1 Pycnopodia helianthoides; 1 Pisaster brevispinus; The zillions of Mottled stars are still there; only eight showing signs of wasting. The Ochre stars still look healthy. I went deeper and away from the wharf and found  spot with my first sighting of Pycnopodia and one P. brevispinus.","yes"
"2014-07-15","Coupeville Pier ST","48.222394","-122.68849","subtidal","no","no","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Jan Kocian",NULL,"""â€œzillionâ€ healthy Evasterias troschelii 2 healthy Pisaster ochraceus â€œRevisited Coupeville Wharf. Visibility was terrible; but it was obvious; that the Evasterias are basically still unaffected by the syndrome.  The numbers of them piled up on each other are still an amazing sight...â€""","yes"
"2014-07-29","Coupeville Pier ST","48.222394","-122.68849","subtidal","no","no","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Jan Kocian",NULL,"A â€œzillionâ€ healthy Evasterias troschelii 16 healthy Pisaster ochraceus","yes"
"2014-08-29","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","yes","species not observed","species not observed","no","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)",,"Jan Kocian",NULL,"60% wasting & 100 healthy Evasterias troschelii; 8 wasting & 3 healthy Pisaster ochraceus; 1 healthy Pisaster brevispinus","yes"
"2014-09-07","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","yes","yes","species not observed","no","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Jan Kocian",NULL,"2 healthy Pisaster brevispinus: 1 small healthy and 1 wasting Pycnopodia helianthoides: 80% wasting Evasterias troschelii: 11 wasting and 2 healthy Pisaster ochraceus. Jan says Coupeville is now a depressing site; about 80 percent of the Evasterias are sick and many are under the wharf; improved somewhat in deeper section to the north.","yes"
"2014-10-12","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","species not observed","species not observed","species not observed","yes","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Jan Kocian",NULL,"12 wasting and 35 healthy Evasterias; 1 wasting and 1 healthy Pisaster brevispinus.","yes"
"2015-07-06","Coupeville Pier ST","48.222394","-122.68849","subtidal","no","no","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jan Kocian",,"20 P. ochraceus, 100s + Evasterias. No disease present. 61 F.","yes"
"2017-03-06","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","yes","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jan Kocian",,"The waters here are cold; around 46 degrees F and some signs of wasting syndrome are still present; although fortunately; quite rare. I did found one Evasteria at Keystone Jetty in February and few at Coupeville Wharf. 1 wasting and 100+ healthy Evasterias. 3 wasting and 100+ healthy Pisaster ochraceus. Entered from email by MD.","yes"
"2017-04-13","Coupeville Pier ST","48.222394","-122.68849","subtidal","no","no","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jan Kocian",,"Entered by MD from email.","yes"
"2017-10-21","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","no","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jan Kocian",,"The bad news continues; from the four adult Pycnos at Keystone; one I found now just a pile of what almost is unrecognizable as sea star. At Coupeville; although there are still many Evasterias and Ochres; wasting is underway on great scale. Interestingly; at this moment; only Evasterias are affected. Entered by MD from email.","yes"
"2018-03-23","Coupeville Pier ST","48.222394","-122.68849","subtidal","no","no","species not observed","species not observed","species not observed","no","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jan Kocian",,"Entered by MD from his email.","yes"
"2018-09-24","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","species not observed","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jan Kocian",,"Lots of wasting. Entered from email by MD.","yes"
"2017-05-20","Ault Field","48.32743","-122.70048","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Bob Adams",,"Have started seeing Star Fish for the past couple of months. Finally.","yes"
"2014-08-22","Coupeville Pier ST","48.222394","-122.68849","subtidal","yes","yes","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Jan Kocian",NULL,"Hi all;three weeks I revisited the Coupeville wharf; which managed until now to escape the die off. Well; it was not a pretty sight this time. Even in bad visibility; it was obvious; that the Wasting syndrome is about to devastate this locality as well. Although the healthy ones still outnumber the sick ones; thinning and limp Mottled stars are all over the area. Ochre stars which were not near as numerous there are hit hardest. Few remain; some are already piles of goo. Jan Also, MR removed Cucumaria miniata from species disease not seen since it isn't a sea star, but it was seen and healthy.","yes"
"2016-05-08","Couverden Islands","58.219224","-135.066218","rocky intertidal","yes","species not observed","no","species not observed","species not observed","yes","species not observed","species not observed","Dermasterias imbricata; Henricia spp.; Solaster spp.;","Leptasterias spp.;","Art Kolter",,"MARINe staff;. The observations for this survey were made during 5/8 to 5/13/2016 while sea kayaking closely along the coast line of the Couverden Island archipelago in SE Alaska along mostly rocky intertidal areas. All surveys were conducted during some of the lowest tides of the year. Altogether over 20 miles of intertidal and some sub-tidal coastline were carefully observed. It was interesting to note that:. Disease rates for Evasterias the most prolific species; several hundred observed; were Ã¢â€°Â¤ 5% and mostly mildly diseased. Disease rates for Leptasterias; several species; were Ã¢â€°Â¤ 10% and mostly mildly diseased. All other species showed no signs of disease including Pycnopodia that were also well distributed. In one cove some of the Green Sea Urchins (Strongylocentrotus droebachiensis) showed signs of balding syndrome. If you have any questions regarding this survey please do not hesitate to contact us;. Art Kolter & Brenda Johnson. nwexplorerblog@gmail.com. (907) 780-4356. ","yes"
"2013-11-23","Cove 1","47.5874056","-122.37767","unknown","yes","yes","yes","species not observed","species not observed","yes","species not observed","species not observed","NONE","NONE","Laura James",,,"yes"
"2017-05-27","Cove Creek Beach","44.28002167","-124.11167","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Leptasterias spp","NONE","Dick Vander Schaaf","The Nature Conservancy",NULL,"yes"
"2017-07-25","Cove Creek Beach","44.28002167","-124.11167","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Leptasterias spp","NONE","Dick Vander Schaaf","The Nature Conservancy",NULL,"yes"
"2017-09-17","Cove Creek Beach","44.28002167","-124.11167","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE","Dick Vander Schaaf","The Nature Conservancy",NULL,"yes"
"2018-06-15","Cove Creek Beach","44.28002167","-124.11167","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","Leptasterias spp","NONE","Dick Vander Schaaf","The Nature Conservancy",NULL,"yes"
"2018-07-12","Cove Creek Beach","44.28002167","-124.11167","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE","Dick Vander Schaaf","The Nature Conservancy",NULL,"yes"
"2015-05-19","Cove Creek","60.777461","-148.66095","rocky intertidal","yes","species not observed","yes","species not observed","species not observed","no","species not observed","no","Dermasterias imbricata;","NONE (no additional sea stars observed showing disease symptoms);","Nicole Abeln","Anchorage Museum","I am not positive this is wasting. I will be sending photos - the sea stars (sunflower) definitely had lesions and open wounds. I could see inside of all three of the stars. Out of around 15 sunflower stars seen, three had obvious white spots. All animals were still alive. ","yes"
"2019-01-26","Cove Creek","60.777461","-148.66095","rocky intertidal","yes","species not observed","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","Leptasterias spp.;","Nicole Abeln","Anchorage Museum",,"yes"
"2013-09-04","Santa Cruz Wharf","36.960791","-122.02053","subtidal","yes","species not observed","species not observed","species not observed","yes","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Steve Clabuesch","University of California Santa Cruz",,"yes"
"2014-05-28","Cowlitz Bay; Waldron Island","48.693109","-123.04276","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Jill Bliss",,,"yes"
"2014-11-10","Craig; AK","55.45262","-133.10091","rocky intertidal","yes","yes","yes","species not observed","yes","no","yes","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Joey Slowik",NULL,"Low tide was at night so photos are of poor quality. Sorry.","yes"
"2016-11-15","Crystal Cove","33.5708642","-117.83785","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Jayson Smith","CSFU and CPP","Survey was part of the MARINe sampling for Fall 2016. The sampling consisted of a whole site wide search","yes"
"2014-02-21","Shaws Cove","33.5447298","-117.79974","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Patsee Ober","Laguna Beach Bluebelt Coalition","This reef had hundreds of sea stars","yes"
"2014-05-13","Cresent Bay","48.273647","-122.56801","crab pot","yes","species not observed","yes","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Julie Barber","Swinomish Indian Tribal Community",,"yes"
"2013-10-09","Croker Island","49.4298","-122.86378","subtidal","yes","species not observed","species not observed","species not observed","species not observed","yes","species not observed","species not observed","NONE","Dermasterias imbricata; Solaster spp","NA Neil McDaniel",,,"yes"
"2013-10-29","Croker Island","49.4298","-122.86378","subtidal","yes","yes","yes","species not observed","species not observed","yes","species not observed","species not observed","Dermasterias imbricata","NONE (no additional sea stars observed showing disease symptoms);","NA Neil McDaniel",,,"yes"
