"","X.1","X","longitude","latitude","begin","end","ID","season","year"
"437",437,437,-122.08045,36.943421,"2005-10-04","2006-01-11","doi:10.6085/AA/TPT001_018ADCP018R00_20051004.50.2",3,2005
"438",438,438,120.352284,34.059275,"2008-04-03","2008-07-02","doi:10.6085/AA/CUYXXX_015ADCP015R00_20080403.50.6",1,2008
"439",439,439,-119.85566,33.96617,"2008-01-15","2008-04-10","doi:10.6085/AA/MORXXX_015ADCP015R00_20080115.50.2",3,2008
"440",440,440,-120.6268,34.726483,"2001-08-02","2001-10-27","doi:10.6085/AA/PURXXX_015ADCP015R00_20010802.50.1",3,2001
"441",441,441,-119.69602,34.0313,"2007-09-07","2007-11-28","doi:10.6085/AA/PELXXX_015ADCP015R00_20070907.50.5",3,2007
"442",442,442,-124.127732,44.252,"2003-05-12","2003-07-16","doi:10.6085/AA/SH15CX_015ADCP014R00_20030512.50.3",2,2003
"443",443,443,-119.93203,34.42403,"1999-12-06","1900-02-08","doi:10.6085/AA/ELLXXX_015ADCP015R00_19991206.50.2",3,1950
"444",444,444,-120.12842,33.89511,"2007-08-06","2007-11-15","doi:10.6085/AA/SRSXXX_015ADCP015R00_20070806.50.4",3,2007
"445",445,445,-121.9448,36.558,"2001-03-08","2001-04-16","doi:10.6085/AA/SWC001_022ADCP021R00_20010308.50.3",1,2001
"446",446,446,-120.63535,34.869817,"2001-05-22","2001-07-24","doi:10.6085/AA/PTSXXX_015ADCP015R00_20010522.50.1",2,2001
"447",447,447,-119.93203,34.42403,"2000-09-01","2000-11-14","doi:10.6085/AA/ELLXXX_015ADCP015R00_20000901.50.2",3,2000
"448",448,448,-120.4871,34.47344,"2003-09-02","2003-11-06","doi:10.6085/AA/JALXXX_015ADCP015R00_20030902.50.4",3,2003
"449",449,449,-124.126332,44.2536,"2005-08-11","2005-09-06","doi:10.6085/AA/SH15CX_015ADCP014R00_20050811.50.4",2,2005
"450",450,450,-124.065676,44.8415,"2001-04-30","2001-08-12","doi:10.6085/AA/FC08CX_008ADCP007R00_20010430.50.5",2,2001
"451",451,451,-122.15845,36.972121,"2004-10-07","2005-01-03","doi:10.6085/AA/SHB001_021ADCP020R00_20041007.50.3",3,2004
"452",452,452,-121.898647,36.62185,"2002-11-04","2003-02-09","doi:10.6085/AA/HMS001_020ADCP019R00_20021103.50.3",3,2002
"453",453,453,-124.127332,44.2516,"2002-06-25","2002-07-16","doi:10.6085/AA/SH15CX_015ADCP014R00_20020625.50.4",2,2002
"454",454,454,-124.128332,44.2523,"2004-07-05","2004-07-09","doi:10.6085/AA/SH15XX_015ADCP014R00_20040705.50.2",2,2004
"455",455,455,-122.08045,36.943421,"2002-04-16","2002-07-08","doi:10.6085/AA/TPT001_018ADCP018R00_20020416.50.3",1,2002
"456",456,456,-122.0799,36.9442,"2001-04-12","2001-06-18","doi:10.6085/AA/TPT001_018ADCP018R00_20010412.50.1",1,2001
"457",457,457,-119.84111,34.06683,"2007-11-28","2008-03-05","doi:10.6085/AA/PROXXX_015ADCP015R00_20071128.50.1",3,2008
"458",458,458,-121.898647,36.62185,"2005-09-19","2005-12-12","doi:10.6085/AA/HMS001_020ADCP019R00_20050919.50.3",3,2005
"459",459,459,-119.93203,34.42403,"1999-08-17","1999-09-06","doi:10.6085/AA/ELLXXX_015ADCP015R00_19990817.50.3",2,1999
"460",460,460,-121.9448,36.558,"2001-01-17","2001-03-08","doi:10.6085/AA/SWC001_022ADCP021R00_20010117.50.3",3,2001
"461",461,461,-120.6276,34.72602,"2010-10-19","2011-04-04","doi:10.6085/AA/PURXXX_015ADCP015R00_20101019.50.1",3,2011
"462",462,462,-119.84155,34.066,"2005-03-15","2005-06-02","doi:10.6085/AA/PROXXX_015ADCP015R00_20050315.50.1",1,2005
"463",463,463,-124.1012,44.4994,"2002-06-27","2002-09-07","doi:10.6085/AA/SR15CX_015ADCP014R00_20020627.50.1",2,2002
"464",464,464,-120.6276,34.72602,"2007-11-05","2008-02-19","doi:10.6085/AA/PURXXX_015ADCP015R00_20071105.50.3",3,2007
"465",465,465,-121.8996,36.6214,"2005-04-02","2005-06-23","doi:10.6085/AA/HMS001_020ADCP019R00_20050402.50.1",1,2005
"466",466,466,-120.63583,34.86919,"2008-02-19","2008-05-16","doi:10.6085/AA/PTSXXX_015ADCP015R00_20080219.50.2",1,2008
"467",467,467,-120.6268,34.726483,"2000-12-05","2001-02-05","doi:10.6085/AA/PURXXX_015ADCP015R00_20001205.50.1",3,2001
"468",468,468,-121.9448,36.5589,"2006-07-05","2006-09-29","doi:10.6085/AA/SWC001_022ADCP021R00_20060705.50.1",2,2006
"469",469,469,-120.12842,33.89511,"2008-02-27","2008-05-29","doi:10.6085/AA/SRSXXX_015ADCP015R00_20080227.50.8",1,2008
"470",470,470,-119.931633,34.42485,"2002-01-18","2002-04-03","doi:10.6085/AA/ELLXXX_015ADCP015R00_20020118.50.1",3,2002
"471",471,471,-120.63583,34.86919,"2007-03-05","2007-06-10","doi:10.6085/AA/PTSXXX_015ADCP015R00_20070305.50.2",1,2007
"472",472,472,-120.63583,34.86919,"2002-08-29","2002-11-20","doi:10.6085/AA/PTSXXX_015ADCP015R00_20020829.50.4",3,2002
"473",473,473,-122.1579,36.9729,"2004-07-15","2004-10-07","doi:10.6085/AA/SHB001_021ADCP020R00_20040715.50.1",2,2004
"474",474,474,-121.898647,36.62185,"2000-11-21","2001-01-07","doi:10.6085/AA/HMS001_020ADCP019R00_20001117.50.3",3,2000
"475",475,475,-119.85566,33.96617,"2005-09-12","2005-12-05","doi:10.6085/AA/MORXXX_015ADCP015R00_20050912.50.2",3,2005
"476",476,476,-119.55941,34.05559,"2005-08-31","2005-11-14","doi:10.6085/AA/SCPXXX_015ADCP015R00_20050831.50.2",3,2005
"477",477,477,-120.4871,34.47344,"2001-05-22","2001-07-24","doi:10.6085/AA/JALXXX_015ADCP015R00_20010522.50.3",2,2001
"478",478,478,-120.63583,34.86919,"2003-03-12","2003-05-23","doi:10.6085/AA/PTSXXX_015ADCP015R00_20030312.50.3",1,2003
"479",479,479,-122.1579,36.9729,"2002-07-07","2002-09-18","doi:10.6085/AA/SHB001_021ADCP020R00_20020705.50.1",2,2002
"480",480,480,-121.898647,36.62185,"2003-10-24","2004-01-21","doi:10.6085/AA/HMS001_020ADCP019R00_20031024.50.3",3,2003
"481",481,481,-120.63583,34.86919,"2003-05-29","2003-08-23","doi:10.6085/AA/PTSXXX_015ADCP015R00_20030529.50.5",2,2003
"482",482,482,-122.15845,36.972121,"2004-04-29","2004-07-15","doi:10.6085/AA/SHB001_021ADCP020R00_20040429.50.5",2,2004
"483",483,483,-120.6276,34.72602,"2001-08-02","2001-10-27","doi:10.6085/AA/PURXXX_015ADCP015R00_20010802.50.3",3,2001
"484",484,484,-119.85566,33.96617,"2007-02-08","2007-04-27","doi:10.6085/AA/MORXXX_015ADCP015R00_20070208.50.2",1,2007
"485",485,485,-119.69602,34.0313,"2005-08-31","2005-11-14","doi:10.6085/AA/PELXXX_015ADCP015R00_20050831.50.6",3,2005
"486",486,486,-124.126332,44.2536,"2005-08-11","2005-09-06","doi:10.6085/AA/SH15CX_015ADCP014R00_20050811.50.3",2,2005
"487",487,487,-120.4871,34.47344,"2003-05-29","2003-08-26","doi:10.6085/AA/JALXXX_015ADCP015R00_20030529.50.4",2,2003
"488",488,488,-119.55941,34.05559,"2007-06-08","2007-09-07","doi:10.6085/AA/SCPXXX_015ADCP015R00_20070608.50.6",2,2007
"489",489,489,-122.15845,36.972121,"2005-12-14","2006-03-08","doi:10.6085/AA/SHB001_021ADCP020R00_20051214.50.2",3,2006
"490",490,490,-120.4871,34.47344,"2002-01-17","2002-04-02","doi:10.6085/AA/JALXXX_015ADCP015R00_20020117.50.3",3,2002
"491",491,491,-122.15845,36.972121,"2006-03-08","2006-06-01","doi:10.6085/AA/SHB001_021ADCP020R00_20060308.50.3",1,2006
"492",492,492,-120.4871,34.47344,"2002-04-23","2002-07-18","doi:10.6085/AA/JALXXX_015ADCP015R00_20020423.50.4",2,2002
"493",493,493,-119.69602,34.0313,"2004-04-02","2004-07-02","doi:10.6085/AA/PELXXX_015ADCP015R00_20040402.50.5",1,2004
"494",494,494,-120.63583,34.86919,"2007-03-05","2007-06-10","doi:10.6085/AA/PTSXXX_015ADCP015R00_20070305.50.3",1,2007
"495",495,495,-124.057603,44.8583,"2004-07-10","2004-09-28","doi:10.6085/AA/LB15XX_015ADCP014R00_20040710.50.3",2,2004
"496",496,496,-124.065676,44.8415,"2001-04-30","2001-08-12","doi:10.6085/AA/FC08CX_008ADCP007R00_20010430.50.3",2,2001
"497",497,497,-121.898647,36.62185,"2006-12-01","2007-02-09","doi:10.6085/AA/HMS001_020ADCP019R00_20061201.50.3",3,2007
"498",498,498,-124.090874,44.682,"1999-08-06","1999-10-12","doi:10.6085/AA/YH15CX_015ADCP014R00_19990806.50.3",3,1999
"499",499,499,-119.55941,34.05559,"2004-12-20","2005-03-15","doi:10.6085/AA/SCPXXX_015ADCP015R00_20041220.50.2",3,2005
"500",500,500,-120.63583,34.86919,"2004-02-12","2004-05-05","doi:10.6085/AA/PTSXXX_015ADCP015R00_20040212.50.4",1,2004
"501",501,501,-120.12842,33.89511,"2005-07-27","2005-10-11","doi:10.6085/AA/SRSXXX_015ADCP015R00_20050727.50.10",3,2005
"502",502,502,-124.1259,44.2521,"2001-07-07","2001-09-21","doi:10.6085/AA/SH15CX_015ADCP014R00_20010707.50.1",2,2001
"503",503,503,-122.15845,36.972121,"2000-06-19","2000-07-14","doi:10.6085/AA/SHB001_021ADCP020R00_20000619.50.3",2,2000
"504",504,504,-121.898647,36.62185,"2000-04-24","2000-05-30","doi:10.6085/AA/HMS001_020ADCP019R00_20000421.50.4",1,2000
"505",505,505,-120.6268,34.726483,"2000-07-13","2000-10-04","doi:10.6085/AA/PURXXX_015ADCP015R00_20000713.50.1",2,2000
"506",506,506,-119.55941,34.05559,"2005-11-17","2006-02-12","doi:10.6085/AA/SCPXXX_015ADCP015R00_20051117.50.4",3,2005
"507",507,507,-122.08045,36.943421,"2001-11-09","2002-01-24","doi:10.6085/AA/TPT001_018ADCP018R00_20011109.50.4",3,2001
"508",508,508,-121.8996,36.6214,"2006-12-01","2007-02-09","doi:10.6085/AA/HMS001_020ADCP019R00_20061201.50.1",3,2007
"509",509,509,-121.9448,36.558,"2001-04-16","2001-06-21","doi:10.6085/AA/SWC001_022ADCP021R00_20010416.50.2",1,2001
"510",510,510,-122.15845,36.972121,"2001-01-31","2001-03-12","doi:10.6085/AA/SHB001_021ADCP020R00_20010130.50.4",3,2001
"511",511,511,-120.63583,34.86919,"2005-07-27","2005-10-21","doi:10.6085/AA/PTSXXX_015ADCP015R00_20050727.50.3",3,2005
"512",512,512,-122.15845,36.972121,"2001-05-14","2001-07-28","doi:10.6085/AA/SHB001_021ADCP020R00_20010514.50.4",2,2001
"513",513,513,-121.898647,36.62185,"2005-12-12","2006-03-13","doi:10.6085/AA/HMS001_020ADCP019R00_20051212.50.4",3,2006
"514",514,514,-121.898647,36.62185,"2009-01-06","2009-04-06","doi:10.6085/AA/HMS001_020ADCP019R00_20090106.50.4",3,2009
"515",515,515,-119.69665,34.03065,"2002-10-17","2003-01-04","doi:10.6085/AA/PELXXX_015ADCP015R00_20021017.50.3",3,2002
"516",516,516,-119.93203,34.42403,"2002-04-23","2002-07-03","doi:10.6085/AA/ELLXXX_015ADCP015R00_20020423.50.2",1,2002
"517",517,517,-120.12842,33.89511,"2007-08-06","2007-11-15","doi:10.6085/AA/SRSXXX_015ADCP015R00_20070806.50.6",3,2007
"518",518,518,-120.63583,34.86919,"2003-09-02","2003-11-06","doi:10.6085/AA/PTSXXX_015ADCP015R00_20030902.50.3",3,2003
"519",519,519,-124.127332,44.2516,"2002-07-17","2002-09-03","doi:10.6085/AA/SH15CX_015ADCP014R00_20020717.50.5",2,2002
"520",520,520,-122.1579,36.9729,"2002-04-11","2002-07-07","doi:10.6085/AA/SHB001_021ADCP020R00_20020411.50.1",1,2002
"521",521,521,-121.8996,36.6214,"2001-07-03","2001-09-12","doi:10.6085/AA/HMS001_020ADCP019R00_20010703.50.1",2,2001
"522",522,522,-121.9448,36.558,"2004-10-12","2005-01-06","doi:10.6085/AA/SWC001_022ADCP021R00_20041012.50.3",3,2004
"523",523,523,-120.63583,34.86919,"2003-11-12","2003-11-30","doi:10.6085/AA/PTSXXX_015ADCP015R00_20031112.50.2",3,2003
"524",524,524,-121.898647,36.62185,"2005-09-19","2005-12-12","doi:10.6085/AA/HMS001_020ADCP019R00_20050919.50.2",3,2005
"525",525,525,-120.6268,34.726483,"2004-08-19","2004-11-22","doi:10.6085/AA/PURXXX_015ADCP015R00_20040819.50.1",3,2004
"526",526,526,-122.0799,36.9442,"2002-07-08","2002-10-10","doi:10.6085/AA/TPT001_018ADCP018R00_20020708.50.1",2,2002
"527",527,527,-121.898647,36.62185,"2009-01-06","2009-01-06","doi:10.6085/AA/HMS001_020ADCP019R00_20090106.50.1",3,2009
"528",528,528,-119.69602,34.0313,"2003-01-28","2003-04-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20030128.50.6",1,2003
"529",529,529,-122.08045,36.943421,"2002-10-17","2003-01-20","doi:10.6085/AA/TPT001_018ADCP018R00_20021017.50.3",3,2002
"530",530,530,-121.9448,36.5589,"2002-11-05","2003-02-07","doi:10.6085/AA/SWC001_022ADCP021R00_20021105.50.1",3,2002
"531",531,531,-122.1579,36.9729,"2006-06-02","2006-08-18","doi:10.6085/AA/SHB001_021ADCP020R00_20060602.50.1",2,2006
"532",532,532,-121.8996,36.6214,"2000-07-12","2000-08-18","doi:10.6085/AA/HMS001_020ADCP019R00_20000712.50.1",2,2000
"533",533,533,-120.63583,34.86919,"2003-03-12","2003-05-23","doi:10.6085/AA/PTSXXX_015ADCP015R00_20030312.50.2",1,2003
"534",534,534,-124.120552,44.32,"2005-08-09","2005-09-06","doi:10.6085/AA/YB15CX_015ADCP014R00_20050809.50.2",2,2005
"535",535,535,-124.056,44.8565,"2005-04-25","2005-06-05","doi:10.6085/AA/LB15CX_015ADCP014R00_20050425.50.1",1,2005
"536",536,536,-119.69665,34.03065,"2005-08-31","2005-11-14","doi:10.6085/AA/PELXXX_015ADCP015R00_20050831.50.3",3,2005
"537",537,537,-119.55941,34.05559,"2007-11-27","2008-03-05","doi:10.6085/AA/SCPXXX_015ADCP015R00_20071127.50.3",3,2008
"538",538,538,-120.6268,34.726483,"2004-05-26","2004-07-27","doi:10.6085/AA/PURXXX_015ADCP015R00_20040526.50.1",2,2004
"539",539,539,-119.854783,33.966633,"2005-03-15","2005-06-02","doi:10.6085/AA/MORXXX_015ADCP015R00_20050315.50.1",1,2005
"540",540,540,-120.6276,34.72602,"1999-11-10","1999-12-23","doi:10.6085/AA/PURXXX_015ADCP015R00_19991110.50.2",3,1999
"541",541,541,-124.057004,44.8589,"2003-07-15","2003-09-08","doi:10.6085/AA/LB15CX_015ADCP014R00_20030715.50.4",2,2003
"542",542,542,-121.898647,36.62185,"2000-08-18","2000-09-21","doi:10.6085/AA/HMS001_020ADCP019R00_20000818.50.5",3,2000
"543",543,543,-121.9448,36.558,"2001-11-30","2002-02-12","doi:10.6085/AA/SWC001_022ADCP021R00_20011129.50.2",3,2002
"544",544,544,-121.9448,36.558,"2000-07-18","2000-08-16","doi:10.6085/AA/SWC001_022ADCP021R00_20000718.50.2",2,2000
"545",545,545,-122.15845,36.972121,"2003-07-27","2003-10-29","doi:10.6085/AA/SHB001_021ADCP020R00_20030725.50.4",3,2003
"546",546,546,-120.63583,34.86919,"2004-05-26","2004-07-28","doi:10.6085/AA/PTSXXX_015ADCP015R00_20040526.50.2",2,2004
"547",547,547,120.352284,34.059275,"2008-04-03","2008-07-02","doi:10.6085/AA/CUYXXX_015ADCP015R00_20080403.50.4",1,2008
"548",548,548,-119.69665,34.03065,"2003-08-07","2003-11-01","doi:10.6085/AA/PELXXX_015ADCP015R00_20030807.50.3",3,2003
"549",549,549,-119.931633,34.42485,"1999-10-20","1999-12-06","doi:10.6085/AA/ELLXXX_015ADCP015R00_19991020.50.1",3,1999
"550",550,550,-121.898647,36.62185,"2000-09-21","2000-11-21","doi:10.6085/AA/HMS001_020ADCP019R00_20000920.50.4",3,2000
"551",551,551,-120.4871,34.47344,"2002-04-23","2002-07-18","doi:10.6085/AA/JALXXX_015ADCP015R00_20020423.50.2",2,2002
"552",552,552,-120.63583,34.86919,"2006-12-07","2007-03-05","doi:10.6085/AA/PTSXXX_015ADCP015R00_20061207.50.3",3,2007
"553",553,553,-124.126332,44.2536,"2005-06-15","2005-08-11","doi:10.6085/AA/SH15CX_015ADCP014R00_20050615.50.3",2,2005
"554",554,554,-119.69602,34.0313,"2005-06-02","2005-08-25","doi:10.6085/AA/PELXXX_015ADCP015R00_20050602.50.7",2,2005
"555",555,555,-124.12,44.2525,"2001-05-04","2001-06-19","doi:10.6085/AA/SH08CX_008ADCP007R00_20010504.50.1",1,2001
"556",556,556,-121.898647,36.62185,"2001-12-06","2002-03-04","doi:10.6085/AA/HMS001_020ADCP019R00_20011206.50.3",3,2002
"557",557,557,-120.63583,34.86919,"2003-09-02","2003-11-06","doi:10.6085/AA/PTSXXX_015ADCP015R00_20030902.50.4",3,2003
"558",558,558,-121.9448,36.558,"2004-04-11","2004-07-09","doi:10.6085/AA/SWC001_022ADCP021R00_20040409.50.5",1,2004
"559",559,559,-120.63583,34.86919,"2001-05-22","2001-07-24","doi:10.6085/AA/PTSXXX_015ADCP015R00_20010522.50.4",2,2001
"560",560,560,-120.12842,33.89511,"2007-11-15","2008-02-27","doi:10.6085/AA/SRSXXX_015ADCP015R00_20071115.50.3",3,2008
"561",561,561,-124.081686,44.7795,"2000-07-06","2000-09-21","doi:10.6085/AA/WC15XX_015ADCP014R00_20000706.50.3",2,2000
"562",562,562,-121.898647,36.62185,"2006-06-12","2006-08-30","doi:10.6085/AA/HMS001_020ADCP019R00_20060612.50.2",2,2006
"563",563,563,-119.69602,34.0313,"2007-09-07","2007-11-28","doi:10.6085/AA/PELXXX_015ADCP015R00_20070907.50.4",3,2007
"564",564,564,-122.1579,36.9729,"2004-01-28","2004-04-27","doi:10.6085/AA/SHB001_021ADCP020R00_20040128.50.1",1,2004
"565",565,565,-120.6276,34.72602,"2001-08-02","2001-10-27","doi:10.6085/AA/PURXXX_015ADCP015R00_20010802.50.2",3,2001
"566",566,566,-120.4871,34.47344,"2003-03-12","2003-05-23","doi:10.6085/AA/JALXXX_015ADCP015R00_20030312.50.4",1,2003
"567",567,567,-120.6276,34.72602,"2003-03-12","2003-05-23","doi:10.6085/AA/PURXXX_015ADCP015R00_20030312.50.4",1,2003
"568",568,568,-119.93203,34.42403,"2002-04-23","2002-07-03","doi:10.6085/AA/ELLXXX_015ADCP015R00_20020423.50.4",1,2002
"569",569,569,-122.1579,36.9729,"2003-10-31","2004-01-28","doi:10.6085/AA/SHB001_021ADCP020R00_20031031.50.1",3,2003
"570",570,570,-120.12842,33.89511,"2010-08-17","2011-02-22","doi:10.6085/AA/SRSXXX_015ADCP015R00_20100817.50.1",3,2010
"571",571,571,-119.55941,34.05559,"2006-05-04","2006-07-27","doi:10.6085/AA/SCPXXX_015ADCP015R00_20060504.50.4",2,2006
"572",572,572,-120.12842,33.89511,"2005-04-21","2005-07-16","doi:10.6085/AA/SRSXXX_015ADCP015R00_20050421.50.7",2,2005
"573",573,573,-119.84155,34.066,"2006-12-20","2007-02-21","doi:10.6085/AA/PROXXX_015ADCP015R00_20061220.50.1",3,2007
"574",574,574,-122.15845,36.972121,"2000-11-19","2000-11-24","doi:10.6085/AA/SHB001_021ADCP020R00_20001119.50.4",3,2000
"575",575,575,-121.898647,36.62185,"2001-05-04","2001-07-03","doi:10.6085/AA/HMS001_020ADCP019R00_20010504.50.4",2,2001
"576",576,576,-124.0897,44.682,"1999-08-06","1999-10-12","doi:10.6085/AA/YH15CX_015ADCP014R00_19990806.50.1",3,1999
"577",577,577,-124.075676,44.8417,"2002-05-13","2002-07-04","doi:10.6085/AA/FC30CX_030ADCP029R00_20020513.50.3",2,2002
"578",578,578,-121.8996,36.6214,"2003-05-05","2003-08-01","doi:10.6085/AA/HMS001_020ADCP019R00_20030505.50.1",2,2003
"579",579,579,-121.898647,36.62185,"2003-05-05","2003-08-01","doi:10.6085/AA/HMS001_020ADCP019R00_20030505.50.2",2,2003
"580",580,580,-120.63583,34.86919,"2006-12-07","2007-03-05","doi:10.6085/AA/PTSXXX_015ADCP015R00_20061207.50.2",3,2007
"581",581,581,-120.6276,34.72602,"2002-04-23","2002-06-12","doi:10.6085/AA/PURXXX_015ADCP015R00_20020423.50.4",1,2002
"582",582,582,-121.898647,36.62185,"2001-07-03","2001-09-12","doi:10.6085/AA/HMS001_020ADCP019R00_20010703.50.2",2,2001
"583",583,583,-122.15845,36.972121,"2006-03-08","2006-06-01","doi:10.6085/AA/SHB001_021ADCP020R00_20060308.50.5",1,2006
"584",584,584,-119.93203,34.42403,"2002-01-18","2002-04-03","doi:10.6085/AA/ELLXXX_015ADCP015R00_20020118.50.3",3,2002
"585",585,585,-121.8996,36.6214,"2005-06-24","2005-09-19","doi:10.6085/AA/HMS001_020ADCP019R00_20050624.50.1",2,2005
"586",586,586,-121.8996,36.6214,"2002-03-04","2002-05-18","doi:10.6085/AA/HMS001_020ADCP019R00_20020304.50.1",1,2002
"587",587,587,-124.102233,44.4994,"2002-06-27","2002-09-07","doi:10.6085/AA/SR15CX_015ADCP014R00_20020627.50.3",2,2002
"588",588,588,-119.69602,34.0313,"2005-02-24","2005-05-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20050224.50.10",1,2005
"589",589,589,-119.69602,34.0313,"2003-08-07","2003-11-01","doi:10.6085/AA/PELXXX_015ADCP015R00_20030807.50.7",3,2003
"590",590,590,-121.9448,36.5589,"2003-07-30","2003-10-21","doi:10.6085/AA/SWC001_022ADCP021R00_20030729.50.1",3,2003
"591",591,591,-120.6268,34.726483,"2002-04-23","2002-06-12","doi:10.6085/AA/PURXXX_015ADCP015R00_20020423.50.1",1,2002
"592",592,592,-122.08045,36.943421,"2001-06-18","2001-08-29","doi:10.6085/AA/TPT001_018ADCP018R00_20010618.50.2",2,2001
"593",593,593,-122.0799,36.9442,"2005-07-12","2005-09-16","doi:10.6085/AA/TPT001_018ADCP018R00_20050712.50.1",2,2005
"594",594,594,-119.69665,34.03065,"2005-02-24","2005-05-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20050224.50.2",1,2005
"595",595,595,-124.126832,44.2521,"2001-05-05","2001-07-07","doi:10.6085/AA/SH15CX_015ADCP014R00_20010505.50.5",2,2001
"596",596,596,-122.15845,36.972121,"2002-10-17","2002-12-31","doi:10.6085/AA/SHB001_021ADCP020R00_20021017.50.2",3,2002
"597",597,597,-122.0799,36.9442,"2003-07-23","2003-09-23","doi:10.6085/AA/TPT001_018ADCP018R00_20030723.50.1",2,2003
"598",598,598,-122.08045,36.943421,"2006-10-11","2007-01-09","doi:10.6085/AA/TPT001_018ADCP018R00_20061011.50.2",3,2006
"599",599,599,-119.560033,34.054867,"2006-02-17","2006-05-04","doi:10.6085/AA/SCPXXX_015ADCP015R00_20060217.50.1",1,2006
"600",600,600,-121.898647,36.62185,"2000-04-24","2000-05-30","doi:10.6085/AA/HMS001_020ADCP019R00_20000421.50.2",1,2000
"601",601,601,-124.128332,44.2523,"2004-07-09","2004-09-09","doi:10.6085/AA/SH15XX_015ADCP014R00_20040709.50.2",2,2004
"602",602,602,-121.8996,36.6214,"2001-03-13","2001-05-04","doi:10.6085/AA/HMS001_020ADCP019R00_20010313.50.1",1,2001
"603",603,603,-122.08045,36.943421,"2002-10-17","2003-01-20","doi:10.6085/AA/TPT001_018ADCP018R00_20021017.50.4",3,2002
"604",604,604,-120.63583,34.86919,"2001-05-22","2001-07-24","doi:10.6085/AA/PTSXXX_015ADCP015R00_20010522.50.2",2,2001
"605",605,605,-121.898647,36.62185,"2004-10-09","2005-01-04","doi:10.6085/AA/HMS001_020ADCP019R00_20041008.50.2",3,2004
"606",606,606,-121.9448,36.558,"2007-03-14","2007-06-06","doi:10.6085/AA/SWC001_022ADCP021R00_20070314.50.4",1,2007
"607",607,607,-121.8996,36.6214,"2000-11-21","2001-01-07","doi:10.6085/AA/HMS001_020ADCP019R00_20001117.50.1",3,2000
"608",608,608,-120.63583,34.86919,"2000-12-05","2001-02-05","doi:10.6085/AA/PTSXXX_015ADCP015R00_20001205.50.2",3,2001
"609",609,609,-124.0999,44.4991,"2005-06-22","2005-08-12","doi:10.6085/AA/SR15CX_015ADCP014R00_20050622.50.1",2,2005
"610",610,610,-120.12842,33.89511,"2007-11-15","2008-02-27","doi:10.6085/AA/SRSXXX_015ADCP015R00_20071115.50.2",3,2008
"611",611,611,-121.8996,36.6214,"2006-08-30","2006-12-01","doi:10.6085/AA/HMS001_020ADCP019R00_20060830.50.1",3,2006
"612",612,612,-119.69602,34.0313,"2004-12-20","2005-02-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20041220.50.9",3,2005
"613",613,613,-121.9448,36.5589,"2000-08-16","2000-09-21","doi:10.6085/AA/SWC001_022ADCP021R00_20000815.50.1",3,2000
"614",614,614,-120.6276,34.72602,"1999-09-04","1999-11-10","doi:10.6085/AA/PURXXX_015ADCP015R00_19990904.50.3",3,1999
"615",615,615,-120.6276,34.72602,"2006-03-30","2006-06-12","doi:10.6085/AA/PURXXX_015ADCP015R00_20060330.50.3",1,2006
"616",616,616,-124.122152,44.3208,"2000-07-05","2000-09-23","doi:10.6085/AA/YB15XX_015ADCP014R00_20000705.50.3",2,2000
"617",617,617,-119.560033,34.054867,"2006-08-02","2006-10-31","doi:10.6085/AA/SCPXXX_015ADCP015R00_20060802.50.1",3,2006
"618",618,618,-120.6276,34.72602,"2004-08-19","2004-11-22","doi:10.6085/AA/PURXXX_015ADCP015R00_20040819.50.2",3,2004
"619",619,619,-122.08045,36.943421,"2001-04-12","2001-06-18","doi:10.6085/AA/TPT001_018ADCP018R00_20010412.50.5",1,2001
"620",620,620,-121.898647,36.62185,"2006-08-30","2006-12-01","doi:10.6085/AA/HMS001_020ADCP019R00_20060830.50.3",3,2006
"621",621,621,-120.12842,33.89511,"2008-02-27","2008-05-29","doi:10.6085/AA/SRSXXX_015ADCP015R00_20080227.50.6",1,2008
"622",622,622,-122.1579,36.9729,"2006-03-08","2006-06-01","doi:10.6085/AA/SHB001_021ADCP020R00_20060308.50.1",1,2006
"623",623,623,-119.84111,34.06683,"2005-09-12","2005-12-05","doi:10.6085/AA/PROXXX_015ADCP015R00_20050912.50.3",3,2005
"624",624,624,-120.6268,34.726483,"2000-03-10","2000-05-13","doi:10.6085/AA/PURXXX_015ADCP015R00_20000310.50.1",1,2000
"625",625,625,-121.9448,36.558,"2001-09-05","2001-11-30","doi:10.6085/AA/SWC001_022ADCP021R00_20010831.50.4",3,2001
"626",626,626,-124.100933,44.4991,"2005-08-12","2005-09-13","doi:10.6085/AA/SR15CX_015ADCP014R00_20050812.50.3",2,2005
"627",627,627,-122.0799,36.9442,"2006-07-14","2006-10-11","doi:10.6085/AA/TPT001_018ADCP018R00_20060714.50.1",2,2006
"628",628,628,-120.6276,34.72602,"2002-08-29","2002-11-20","doi:10.6085/AA/PURXXX_015ADCP015R00_20020829.50.4",3,2002
"629",629,629,-124.1006,44.5016,"2003-07-11","2003-09-12","doi:10.6085/AA/SR15CX_015ADCP014R00_20030711.50.1",2,2003
"630",630,630,-121.898647,36.62185,"2006-03-13","2006-06-12","doi:10.6085/AA/HMS001_020ADCP019R00_20060313.50.5",1,2006
